age,saving,net_worth,tenure,duration,freq,goal,inv_type,risk_score,roi,true_segment
49,14234.213882192176,1524790.6658230866,20,120,4,retirement,real_estate,9.3,8.86,3
24,41777.315171769806,141589.4657711935,4,27,12,education,crypto,24.1,15.4,2
62,7421.27942501384,973787.4498803265,10,32,4,retirement,bonds,21.1,8.96,0
22,29501.32364892199,50000.0,3,3,14,wealth,crypto,26.8,15.74,2
37,31819.749147463604,299286.0762184565,6,32,6,education,mutual,19.1,10.56,1
44,61321.386948128835,1195564.5338552133,21,44,3,wealth,stocks,20.1,11.3,3
49,25926.59669781557,438675.8903848318,2,40,9,wealth,gold,24.7,9.14,1
35,56782.238847443645,448867.3738298594,13,90,7,wealth,stocks,17.0,11.55,3
42,40964.38362167876,1776125.3259363743,14,85,4,retirement,stocks,14.0,11.1,3
34,16884.16218634069,727347.9923661279,3,47,5,education,etf,13.6,10.18,1
35,24939.657439990307,338456.7240840143,0,14,15,wealth,stocks,30.2,13.01,2
49,14722.076645447725,865229.8619539168,3,56,1,wealth,ppf,12.1,7.7,0
26,41394.70064272448,150346.34986878792,2,3,17,wealth,stocks,33.1,13.36,2
19,29502.356121899364,198940.56431737554,4,24,15,wealth,crypto,25.0,15.75,2
45,20220.80438534536,618285.5230989985,6,59,4,retirement,fd,14.9,7.64,0
31,17933.18598191752,123515.90707015508,2,21,15,vacation,stocks,27.4,12.87,2
48,25662.6605641448,644789.750629201,4,12,10,wealth,mutual,28.4,11.42,1
37,36112.1949037021,530886.2054211242,0,49,3,wealth,etf,14.3,10.02,1
41,12772.487392996141,819342.3244430361,8,59,3,retirement,fd,11.6,7.38,0
44,21999.11866621904,537583.4721486827,17,108,7,retirement,nps,13.5,8.38,3
35,17298.79190464819,556671.7421048062,3,45,11,education,gold,21.4,9.17,1
50,18292.72136336415,667015.3246425469,4,37,5,retirement,fd,19.6,7.98,0
42,53558.770501797895,1808082.888391127,15,30,5,wealth,mutual,22.3,10.62,3
44,13242.432579793456,903951.1645192148,6,78,3,retirement,fd,10.7,7.34,0
18,22719.24594366389,734971.934582813,6,30,9,education,etf,16.0,10.7,1
23,45638.9539130918,50000.0,1,13,23,education,etf,38.9,13.24,2
32,36277.9277634811,360721.3895381839,2,4,13,wealth,crypto,29.3,15.76,2
44,39797.04018113084,740050.9147769231,8,69,6,retirement,stocks,18.5,11.52,3
35,54970.30465740679,163100.6992466449,3,13,19,wealth,stocks,38.9,13.84,2
51,40994.94357349453,1835422.810537774,11,58,6,retirement,stocks,21.8,11.69,3
74,7080.485882571384,533752.34665937,5,33,5,retirement,fd,25.8,8.29,0
55,8323.278206449493,754259.0490858369,7,46,2,wealth,ppf,15.3,7.96,0
43,23231.711756100965,564357.875442949,15,80,4,emergency,nps,12.6,8.03,3
33,24880.42026458057,50000.0,4,12,13,vacation,crypto,27.4,15.67,2
42,41984.418422000475,957204.9439774954,11,87,5,wealth,mutual,15.1,10.26,3
54,16055.087336013092,426841.0293826145,11,34,2,retirement,fd,17.2,7.56,0
52,18407.503486863123,712917.6367434046,5,88,1,retirement,fd,10.3,7.11,0
52,30559.97198386462,1872937.5015888582,12,96,8,retirement,mutual,19.4,10.77,3
47,44775.83880868389,1415369.9669909254,16,94,5,retirement,real_estate,16.3,9.32,3
29,31129.943800324076,268192.14502227097,5,35,4,wealth,mutual,13.9,10.1,1
35,31401.470306040654,169787.01498845397,3,31,15,vacation,stocks,29.3,12.96,2
30,13783.319369907233,130620.05505299318,2,3,13,education,etf,26.0,11.6,2
33,42272.09901314757,192495.78024645464,6,60,8,retirement,real_estate,18.8,9.74,3
35,22898.026018507968,229692.00404413624,4,35,2,education,gold,12.3,7.82,1
24,35991.315081691595,490122.60988627764,5,40,12,retirement,gold,22.1,9.3,1
35,14671.248694635062,716956.0100333238,13,53,5,retirement,fd,13.0,7.65,0
25,19845.622955261868,54075.81611255644,4,21,8,education,etf,17.5,10.68,2
56,20071.85032509065,1288518.9869385613,13,73,5,retirement,ppf,18.0,8.4,0
33,22977.893959230518,339274.7854203998,7,33,7,wealth,mutual,17.9,10.6,1
39,30262.105409202988,185262.26821644948,3,34,5,wealth,mutual,18.1,10.4,1
60,17466.589504404445,1301771.716051311,7,77,4,wealth,bonds,17.3,8.76,0
37,15446.484791261686,413614.4538497242,6,27,3,wealth,gold,13.9,8.0,1
42,26813.47398795678,546200.1253570963,5,33,4,education,mutual,17.5,10.28,1
33,18581.75978288365,804518.0461138963,3,37,10,wealth,mutual,20.5,11.02,1
18,14542.569130518626,156086.3121841318,4,19,19,wealth,etf,28.1,12.3,2
32,23853.92867708646,377998.9002597897,2,62,6,wealth,mutual,13.6,10.28,1
41,52583.08315354812,472692.6257114195,12,77,4,retirement,stocks,16.0,11.2,3
54,24723.59500836829,88242.60099523171,3,29,7,retirement,mutual,24.8,10.94,1
33,12552.80278740889,1447192.463979651,4,66,2,retirement,ppf,7.3,7.56,0
27,20059.38531795206,291014.32253096113,2,26,12,wealth,stocks,22.4,12.32,2
32,18391.104066283664,531929.9996164741,6,26,8,retirement,mutual,18.9,10.74,1
56,11813.064363467412,962438.8184614364,4,73,1,retirement,fd,12.2,7.21,0
44,76604.10273394779,1070156.5682794657,13,108,9,wealth,nps,22.8,9.04,3
45,35550.44952216466,773713.7056267504,15,60,4,retirement,real_estate,16.7,9.24,3
29,28579.151496551804,228730.2963437592,8,28,9,education,etf,20.3,10.92,1
31,46323.17331527535,330755.387839822,2,16,13,education,etf,29.1,11.76,2
62,9991.899950525421,1262632.9857703627,9,34,2,retirement,fd,18.8,7.64,0
64,20846.477952228364,840960.5993248213,7,46,4,retirement,bonds,22.0,9.0,0
24,22987.88546620623,50000.0,5,25,11,wealth,stocks,20.8,12.14,2
49,14551.321528563867,625842.9650585832,9,77,6,retirement,bonds,16.0,8.9,0
33,6437.475214156613,486326.3259275195,5,38,12,wealth,gold,21.3,9.26,1
25,44911.08299636784,162515.9396281931,3,18,13,education,crypto,26.9,15.64,2
51,16429.326953624524,791808.6381470205,11,49,2,retirement,ppf,14.9,7.94,0
42,18673.469530932576,539395.3840719354,15,69,7,wealth,real_estate,16.4,9.52,3
41,59189.114409591566,2420461.9827282676,14,64,6,retirement,mutual,20.5,10.62,3
26,28091.061230784486,188793.8400066665,2,13,9,wealth,mutual,20.8,10.94,1
34,9403.506257965062,808435.5821069462,4,18,3,wealth,mutual,13.2,9.96,1
27,24338.279808828054,714746.8433110213,4,37,6,education,etf,14.6,10.33,1
29,41717.94138593672,311018.84961578663,4,16,24,education,crypto,41.1,17.45,2
46,59730.16479182385,2053774.4446608801,19,83,6,wealth,stocks,20.2,11.61,3
43,53213.097302535796,1810582.8750020433,7,97,8,emergency,real_estate,19.5,9.77,3
41,70032.12121951058,701121.1086703227,13,85,9,retirement,real_estate,23.4,10.07,3
26,52946.86083778912,50000.0,2,27,24,wealth,stocks,40.5,14.42,2
31,34910.23043911104,154763.02883133426,5,32,11,education,crypto,23.7,15.28,2
60,16110.668858168565,808454.3472107385,8,72,3,wealth,bonds,16.4,8.62,0
32,26304.097521912565,1462396.287750661,17,64,2,emergency,nps,8.9,7.64,3
34,33831.46837361526,522754.17115798173,5,35,10,education,etf,22.9,11.14,1
28,16196.487545991768,227045.75770062546,1,18,20,vacation,crypto,32.6,16.63,2
32,22193.204559388203,431064.99983988027,5,32,7,education,mutual,17.6,10.58,1
30,10431.311445644029,606776.2109848417,5,33,11,wealth,etf,20.2,11.11,1
31,54999.959110730284,394281.0609004466,2,18,15,wealth,crypto,32.4,16.12,2
44,6487.081978810798,1573912.8012962956,7,77,2,wealth,ppf,8.7,7.64,0
56,11047.62772277344,1131657.7798873952,8,108,5,wealth,ppf,13.4,8.17,0
35,49651.03235812725,1028641.1115609278,13,112,7,wealth,mutual,13.9,10.4,3
32,18929.877936517,636797.4886393779,1,16,8,education,etf,20.0,10.8,1
32,28035.243180840876,440330.5810258509,0,50,8,retirement,mutual,17.7,10.68,1
34,29913.9975415222,293528.8698238788,4,14,14,wealth,etf,29.3,11.86,2
45,12606.256891682613,797264.3010067389,9,56,2,retirement,fd,11.9,7.3,0
62,6725.716640671153,1089226.1504865072,6,48,6,retirement,ppf,21.8,8.69,0
41,29415.08777457723,365922.8469223608,0,55,13,education,gold,26.1,9.6,1
53,45899.4428654356,248686.88178427902,12,116,6,wealth,mutual,17.2,10.46,3
36,35270.53487882849,356066.109529808,5,47,9,wealth,mutual,21.3,10.96,1
49,52855.9164812078,2258865.0015042825,15,71,8,retirement,real_estate,23.8,9.99,3
42,20698.83393776147,363170.8368633596,3,6,16,retirement,etf,33.8,12.29,1
41,25209.638022192285,616839.6488087085,6,30,6,wealth,mutual,19.7,10.58,1
49,22480.221557445915,1374209.4061600359,7,72,6,retirement,fd,17.5,7.98,0
29,31372.767295009682,182051.16462902748,4,3,15,wealth,stocks,30.3,13.02,2
35,46706.36525220416,1109177.4305468833,12,77,5,wealth,nps,14.6,8.23,3
30,23725.2179929525,272710.19719533855,1,13,14,education,crypto,27.5,15.78,2
35,23247.552494449472,751833.333514002,17,120,5,wealth,mutual,7.4,9.87,3
21,41404.34297607432,97278.1835391656,3,27,18,vacation,stocks,30.4,13.32,2
59,14516.434440648038,592128.4406612278,7,72,7,retirement,ppf,20.7,8.74,0
34,48022.94408673753,1467351.974818099,12,68,6,retirement,nps,16.6,8.43,3
26,30874.92176587868,249630.0542609527,3,25,21,vacation,stocks,34.4,13.82,2
21,15166.53121759667,369877.1970740134,4,3,7,education,etf,16.3,10.52,1
36,53004.39637224714,1039626.8142605769,18,57,6,retirement,mutual,18.9,10.54,3
38,23504.393930732185,1596068.6995727345,15,65,8,retirement,real_estate,17.4,9.67,3
41,16095.751638319694,966869.002820198,14,90,4,retirement,ppf,10.1,7.9,0
21,40067.8975693985,254113.36319957522,0,12,22,wealth,stocks,36.5,14.02,2
39,30218.449212881846,658151.6848244856,3,36,11,education,etf,25.1,11.36,1
30,28752.43272125241,115836.6303528504,1,13,6,education,crypto,18.5,14.52,2
33,30375.55686251598,412376.670577427,5,33,9,education,mutual,21.2,10.96,1
51,28458.35439269521,471571.185875981,12,85,3,retirement,real_estate,14.0,9.0,3
21,33134.93080966688,477206.0287656275,4,18,20,wealth,stocks,32.6,13.63,2
33,16559.138596156405,539783.9370161578,3,3,11,wealth,mutual,24.9,11.34,1
36,18633.188640868913,1188191.0102907717,14,89,6,retirement,real_estate,11.4,9.17,3
31,21577.718189460415,330319.7507458324,3,10,15,education,crypto,29.0,15.95,2
27,23414.434588962242,366175.4628714367,7,41,2,education,mutual,9.3,9.66,1
28,23272.31583719814,333845.0207953894,5,40,10,education,etf,19.3,10.96,1
37,67202.74615322797,928044.9732433711,8,114,7,wealth,nps,16.5,8.52,3
44,49007.04444692596,1616200.2692952799,9,24,8,wealth,nps,26.5,9.12,3
27,56155.75583044879,460106.29316339287,4,28,14,wealth,crypto,29.1,15.86,2
30,20471.088480450024,262370.4088580668,3,11,20,wealth,stocks,34.5,13.72,2
39,28163.367883104307,50000.0,5,32,11,education,mutual,25.2,11.36,1
61,18538.759677277376,1127393.0361782806,8,66,3,retirement,fd,17.6,7.68,0
25,57177.30924926663,219189.0803561869,1,16,10,wealth,crypto,25.0,15.25,2
51,10108.13611192484,389059.10612627666,6,75,7,wealth,fd,17.5,8.07,0
35,11980.074066420897,1214027.4062442356,11,63,8,retirement,ppf,15.3,8.56,0
44,15982.60584850735,737293.0228141925,9,69,2,retirement,ppf,10.7,7.74,0
33,27726.994013364096,153543.3782290141,1,13,16,wealth,crypto,31.3,16.16,2
37,28318.183126310327,287732.4007115588,1,33,2,wealth,mutual,13.7,9.88,1
46,17123.727596144257,310735.896953131,3,14,11,retirement,mutual,27.7,11.48,1
33,39771.65002131535,224878.8540198009,3,15,15,education,crypto,31.4,16.07,2
39,39467.95102216697,983939.4784352902,14,96,8,wealth,stocks,16.6,11.63,3
26,26603.67705130983,415321.8140903319,3,22,3,education,gold,12.5,7.92,1
52,13142.795670021043,781222.0616301433,5,63,2,wealth,ppf,13.3,7.86,0
31,30490.828440116264,194826.37880610474,10,29,12,wealth,etf,24.6,11.43,1
52,14523.522338065239,606944.5308859571,2,80,5,retirement,ppf,15.4,8.27,0
51,19913.45491972757,633923.5274876016,4,40,4,retirement,fd,18.6,7.83,0
27,5150.518895526449,380536.708180019,4,22,17,wealth,stocks,26.9,13.04,2
31,35450.63691992676,79484.85887431144,3,22,11,vacation,stocks,24.7,12.34,2
35,35025.062598145945,481324.4068445348,3,24,8,retirement,etf,22.1,10.9,1
38,17852.993342965798,1442681.1075835591,5,33,3,retirement,bonds,13.9,8.5,0
43,60580.90589163274,1709964.3027138775,13,93,7,retirement,mutual,19.6,10.68,3
40,13369.882339160795,278085.8663665701,10,57,4,retirement,ppf,12.8,8.04,0
45,6695.195332420042,154132.82211425516,12,88,4,retirement,fd,10.3,7.42,0
43,18554.79984101746,965015.6297073655,8,51,5,retirement,fd,16.1,7.8,0
29,16361.260417748104,746233.92635346,5,47,7,education,gold,14.4,8.42,1
34,57220.96082432523,1726560.7262619014,6,24,6,retirement,real_estate,22.2,9.71,3
25,15114.276978412345,220897.94460943397,1,8,13,vacation,stocks,24.2,12.51,2
49,22102.521239949274,627046.8797819841,11,84,6,retirement,bonds,16.3,8.92,0
62,18039.482548582695,817103.9374691254,5,71,3,retirement,ppf,17.4,8.17,0
35,52753.781142330474,436425.8791612068,4,18,14,wealth,crypto,32.1,16.01,2
37,30020.85038049465,285937.1864427068,4,14,4,education,gold,18.3,8.32,1
42,16630.66511121059,794108.6603219956,4,68,6,retirement,fd,15.1,7.86,0
46,28341.446017915205,721515.6612799021,6,50,5,wealth,mutual,18.3,10.42,1
31,38551.19888415314,413593.076831175,3,18,14,vacation,crypto,29.1,15.86,2
43,59929.543507938346,50000.0,14,66,5,retirement,stocks,19.8,11.49,3
37,72213.79241550413,2512652.790134456,12,74,5,retirement,real_estate,18.7,9.43,3
55,5000.0,625076.7684293184,7,56,5,retirement,fd,17.5,7.88,0
38,18784.94308322676,1099403.0329578957,7,67,1,wealth,fd,8.2,7.01,0
37,52999.87545921521,1439501.3120459944,10,60,6,wealth,real_estate,18.9,9.54,3
59,21910.794955187637,690403.5346063673,7,58,5,retirement,ppf,20.6,8.53,0
40,62836.94672180199,934955.2069975651,13,92,5,retirement,mutual,16.7,10.34,3
68,16539.008844460295,443720.47429114615,9,52,7,retirement,bonds,25.7,9.48,0
39,49057.702131996004,470106.66404100053,18,68,5,wealth,real_estate,17.0,9.35,3
29,16642.711038687965,203597.00285233895,3,18,6,vacation,crypto,16.2,14.41,2
39,66348.97381598491,1979192.0059403908,6,119,5,wealth,mutual,14.1,10.2,3
46,15832.26104106528,1084866.2406323971,8,16,4,retirement,ppf,19.0,8.35,0
42,26691.17253976527,96206.04383733706,2,42,12,education,gold,26.1,9.5,1
34,24806.137329042464,914399.0634989938,8,26,11,education,mutual,23.9,11.3,1
28,30970.568732243002,50000.0,2,16,12,vacation,etf,25.1,11.46,2
30,14144.515442403397,499819.16322754987,6,32,6,wealth,gold,14.8,8.34,1
25,20685.559884293838,501231.53109214245,4,3,6,education,mutual,17.0,10.45,1
28,11888.266178658785,209531.2856841406,2,30,19,wealth,crypto,29.7,16.38,2
26,27802.961731090705,193606.7432305641,5,14,3,wealth,gold,13.5,7.98,1
18,23799.064389969546,117788.63378678361,6,8,10,retirement,mutual,19.6,10.98,1
24,8696.25612464143,254367.48223917896,6,14,17,wealth,crypto,27.3,16.07,2
52,15646.105909876138,909488.3007398676,17,49,5,retirement,fd,18.7,7.94,0
21,34474.05316156938,355892.35416869255,1,38,6,wealth,mutual,14.0,10.3,1
41,28198.72301211698,415450.4876533877,14,55,8,wealth,real_estate,19.9,9.8,3
39,29081.259751321468,415914.70698843314,1,50,16,wealth,mutual,29.5,12.08,1
31,35396.2796863164,80269.08854627688,2,26,14,wealth,crypto,27.9,15.8,2
24,20444.401804063116,324248.0326793813,4,32,6,retirement,gold,13.8,8.29,1
50,13454.139382656804,530459.6054626888,3,120,1,retirement,fd,5.9,6.9,0
27,22023.039431128556,80384.28243948516,0,19,13,wealth,crypto,24.6,15.53,2
58,18802.073280721488,668762.5099029769,9,73,4,wealth,fd,17.3,7.76,0
22,40002.47675108048,232247.4226181822,2,5,19,wealth,crypto,33.9,16.6,2
43,27472.37954426123,549396.168020942,1,61,6,wealth,mutual,17.4,10.47,1
29,12587.902007528568,372297.55107855506,7,20,6,education,etf,15.5,10.38,1
44,30523.781488972105,194005.54504461284,6,23,4,retirement,mutual,19.5,10.38,1
30,48340.74093901447,1828439.0158374608,6,120,8,emergency,nps,12.6,8.43,3
23,45702.086955137755,193243.3822983614,3,18,18,wealth,crypto,32.4,16.42,2
50,7607.068771100792,1250227.9371902933,5,57,4,retirement,fd,15.1,7.66,0
47,54634.173850065476,1118183.1645712543,14,114,5,wealth,stocks,15.5,11.28,3
49,14669.601006763418,919766.9367815838,8,69,5,retirement,fd,15.6,7.78,0
30,25802.402827762548,248788.92473443729,2,30,8,wealth,etf,18.8,10.74,2
34,27441.945012250824,267691.7114969416,5,52,7,wealth,mutual,16.8,10.54,1
31,35241.45355497032,50000.0,2,4,11,wealth,crypto,26.5,15.42,2
61,12222.614404198726,259405.86872599414,13,72,5,retirement,bonds,18.6,8.93,0
43,12282.876144331174,306380.37591293245,6,82,2,wealth,fd,8.6,7.13,0
58,7957.693518182202,962989.4087109164,11,34,6,retirement,fd,22.2,8.21,0
36,23354.977170854017,733984.5562809277,4,30,9,retirement,etf,21.5,10.98,1
35,43366.85655668376,331490.8819763269,2,15,17,vacation,crypto,34.8,16.44,2
45,57414.86264602798,785428.2572782974,17,67,4,wealth,real_estate,18.8,9.34,3
54,13594.498535570227,1401827.866447737,11,76,4,retirement,ppf,15.1,8.16,0
41,55548.27382285116,1682632.192190224,11,104,6,wealth,nps,16.0,8.4,3
39,57263.017647679466,1079342.5481276356,12,100,3,wealth,real_estate,12.5,8.93,3
44,25901.808391299037,1267641.254276159,11,120,4,retirement,nps,9.2,7.86,3
38,7642.580658194383,246627.19239908952,4,30,7,education,etf,17.8,10.59,1
47,7759.93049791878,1058142.0465079236,6,59,2,retirement,ppf,11.6,7.78,0
28,38228.63231618849,50000.0,0,23,14,wealth,stocks,27.7,12.78,2
46,13181.938938930722,549395.8840220728,10,101,2,retirement,bonds,7.7,8.09,0
38,49223.75107628752,616588.6152329668,5,120,8,retirement,mutual,15.2,10.56,3
29,13300.456058005828,154730.2259905621,2,24,13,wealth,etf,23.6,11.48,2
41,27786.733913969016,83514.405195272,6,50,13,wealth,etf,26.4,11.62,1
36,40376.9400921547,265139.5474883107,2,17,12,education,stocks,28.5,12.62,2
29,47860.16448668708,266264.0974474219,2,10,7,wealth,stocks,22.1,11.8,2
57,12895.077595898685,688815.7003741682,7,63,5,retirement,ppf,18.4,8.42,0
56,15141.591880652306,880217.6942215709,11,73,3,retirement,fd,15.0,7.55,0
47,34267.30850815877,1110235.0830120398,9,82,7,emergency,nps,18.6,8.63,3
62,13904.497355955678,415102.3327434291,3,63,3,retirement,ppf,17.6,8.18,0
59,14836.233648920008,383128.2599709212,1,69,5,retirement,ppf,18.7,8.43,0
40,44184.825872160196,159835.17219127328,1,30,9,vacation,stocks,25.3,12.16,2
29,21821.7633946622,366266.6902584339,6,31,11,wealth,crypto,21.5,15.18,2
28,49294.076539281145,220276.43620140036,4,8,24,wealth,crypto,42.6,17.53,2
47,33417.765544320864,1422429.1102991612,14,62,10,wealth,real_estate,24.1,10.2,3
33,33431.132418367066,695614.3796712889,4,36,3,wealth,gold,14.1,8.0,1
55,16335.251329346294,480465.9010773882,1,76,4,retirement,fd,15.7,7.68,0
44,11015.523722647617,1065097.9812460018,9,82,4,retirement,ppf,11.2,7.96,0
45,43458.48807768601,913706.9759367364,16,92,5,wealth,mutual,15.7,10.28,3
46,40781.81306567567,1207516.9627708953,16,68,6,emergency,real_estate,19.3,9.56,3
55,16886.059375322606,469037.49028349505,7,58,4,retirement,fd,17.6,7.78,0
41,28098.97184506392,457836.7346237451,7,43,4,education,mutual,16.3,10.22,1
50,16178.07279054283,333025.4304020747,3,72,6,retirement,fd,17.0,7.95,0
40,51887.41973967837,906857.475223924,13,106,4,retirement,mutual,12.7,10.04,3
36,34980.53939643944,50000.0,2,20,9,education,stocks,24.0,12.1,2
26,18150.641274706,132827.5191662773,3,43,12,education,gold,20.2,9.21,1
51,34931.83387299167,1284701.5374560347,4,99,4,retirement,nps,14.6,8.13,3
27,42480.10760809794,295985.44357281266,4,3,13,wealth,stocks,28.7,12.74,2
37,17186.731181678886,181138.0553756341,3,21,19,education,crypto,33.9,16.6,2
38,26929.921987253834,531178.4275575165,5,5,4,education,etf,19.1,10.36,1
45,18192.96229388687,722787.0387729965,8,76,4,wealth,ppf,13.0,8.05,0
29,7236.631928518993,403136.44729432487,6,33,9,education,mutual,17.1,10.76,1
46,64998.15842070067,1386561.1985455046,17,95,3,wealth,nps,16.0,8.1,3
31,47609.29148566536,90155.06753943673,4,14,14,wealth,crypto,30.7,15.94,2
40,19503.88720240402,618036.6942040893,4,48,9,wealth,etf,20.4,10.92,1
27,16932.410139621203,331187.2086591547,4,3,6,wealth,etf,17.1,10.46,1
26,17965.737740704095,50000.0,4,70,1,wealth,gold,4.2,7.31,1
26,29904.822007734292,259999.48294154095,3,5,24,vacation,etf,39.8,13.39,2
26,39885.08460078598,56579.64455621911,2,21,24,vacation,etf,39.5,13.38,2
30,30577.9227973424,738890.3614326427,17,83,9,retirement,mutual,15.3,10.66,3
33,22243.564725755383,50000.0,3,27,12,vacation,crypto,24.4,15.42,2
38,5000.0,748211.8100177541,6,43,8,wealth,ppf,17.3,8.66,0
36,56754.907113400615,1971444.0527695592,9,120,6,retirement,nps,13.1,8.26,3
48,5000.0,978426.3024995858,10,55,5,wealth,bonds,15.5,8.78,0
54,12688.623556474788,573276.4521521466,3,65,1,retirement,bonds,12.5,8.22,0
34,19548.958119443407,303537.2858127394,2,26,7,education,mutual,18.4,10.62,1
25,30441.841667341032,237435.281932687,7,49,5,wealth,mutual,12.4,10.12,1
43,29776.251438013744,118660.49474273529,9,120,6,retirement,stocks,11.8,11.19,3
42,38419.016702443914,330816.13419056585,6,46,6,retirement,etf,20.0,10.6,1
53,45004.77917197603,840263.8078310313,8,92,7,emergency,real_estate,20.7,9.74,3
32,37930.400341775334,397339.0729242729,3,22,6,retirement,etf,19.3,10.56,1
36,16219.003568855995,947292.4854914754,11,51,1,retirement,ppf,8.9,7.54,0
25,27585.48385966565,164215.30174033495,9,30,9,wealth,gold,18.7,8.84,1
38,31403.67804880533,285870.7117669604,5,31,21,wealth,etf,37.4,12.97,2
22,29871.242850037055,297647.2884115393,0,11,8,retirement,etf,18.8,10.74,1
51,9386.389892188507,931081.450923905,6,69,6,wealth,ppf,16.8,8.44,0
44,18073.062050701974,1177144.6226770862,12,88,6,wealth,mutual,13.9,10.3,3
50,16672.283949935125,520019.6122780412,11,25,2,retirement,ppf,17.0,8.05,0
