age,saving,net_worth,tenure,duration,freq,goal,inv_type,risk_score,roi,true_segment,kmeans_cluster,gmm_cluster,dbscan_cluster
46,18936.99303737127,2120070.0197138083,7,45,9,education,stocks,40.3,18.83,1,2,2,12
37,26319.528659418484,2198887.1921812776,9,62,11,education,etf,39.6,17.16,1,2,2,3
47,38161.23998694494,3564841.540736636,9,104,1,retirement,real_estate,22.7,13.47,3,1,1,7
50,39303.45918039396,3461330.4326971057,14,92,4,retirement,mutual,31.7,14.97,3,1,1,8
19,39247.18135381459,865883.669210181,2,9,19,wealth,crypto,54.4,27.24,2,0,0,5
57,9367.183100610397,5843235.156913801,13,72,1,retirement,fd,25.2,10.72,0,3,3,2
38,27012.061512178698,2410877.915297144,5,45,8,education,mutual,35.9,16.19,1,2,2,1
26,38869.33745871267,1235514.1068738436,0,11,17,wealth,crypto,53.7,26.77,2,0,0,5
39,25778.786940096863,2390599.081109156,6,46,11,education,mutual,42.1,17.41,1,2,2,1
28,33817.33755165829,894961.5485447315,1,15,22,wealth,stocks,63.3,23.73,2,0,0,11
44,33728.91492638564,4072027.003281006,9,99,6,retirement,real_estate,30.8,15.28,3,1,1,7
39,25677.364102256564,2327419.4865759998,6,53,10,education,mutual,39.3,16.93,1,2,2,1
60,10297.334914404222,6548234.6169054415,13,84,1,retirement,fd,25.7,10.77,0,3,3,2
59,10839.064887814056,6670737.95776544,17,82,1,emergency,fd,25.5,10.75,0,3,3,2
69,8003.229121623417,6286563.9066206,16,80,1,retirement,fd,30.1,11.21,0,3,3,2
69,13022.309860494695,5686343.277024348,14,76,1,retirement,fd,31.5,11.35,0,3,3,2
37,30625.676165450164,1687678.019368403,8,48,11,education,stocks,41.8,19.38,1,2,2,12
64,10571.108149715314,5410979.56631181,18,74,2,retirement,ppf,30.7,11.97,0,3,3,4
26,34522.32932043136,1197396.048932492,3,8,18,wealth,crypto,55.1,27.11,2,0,0,5
32,24723.50256753557,2156068.877152034,7,48,11,education,etf,38.1,17.01,1,2,2,3
27,37950.42705790785,739775.7012282774,1,9,19,wealth,stocks,58.2,22.62,2,0,0,11
24,32879.95478383445,981878.1603351592,1,10,22,wealth,crypto,61.6,28.56,2,0,0,5
27,38350.98490222061,1027618.6886639688,1,13,25,vacation,crypto,69.9,29.99,2,0,0,6
51,42294.198636499365,4218607.534720106,11,102,7,retirement,mutual,37.8,16.18,3,1,1,8
41,22400.656690142805,1754230.5902208632,7,53,10,wealth,etf,39.7,16.97,1,2,2,9
27,42542.675140221225,1201555.0921525585,3,8,18,vacation,crypto,57.2,27.32,2,0,0,6
30,23851.664794871325,2622874.652950703,7,52,9,education,etf,32.6,16.06,1,2,2,3
64,8120.193797782271,6586378.422633722,13,72,2,retirement,fd,30.4,11.44,0,3,3,2
65,10895.433851620555,5184362.092269527,16,75,2,retirement,fd,31.2,11.52,0,3,3,2
54,38458.59534241958,3233339.667157747,13,92,7,wealth,real_estate,39.5,16.35,3,1,1,13
19,46771.010584021744,891455.8035746424,3,6,19,wealth,stocks,56.3,22.43,2,0,0,11
49,35672.65789162433,3930236.091353239,11,102,2,retirement,real_estate,25.4,13.94,3,1,1,7
62,11418.903634278078,5089698.349725742,15,78,2,retirement,fd,29.5,11.35,0,3,3,2
67,13002.667303910974,6445123.750418254,12,94,2,retirement,fd,30.7,11.47,0,3,3,2
33,25724.22734911014,1782921.250438955,8,53,10,education,mutual,36.3,16.63,1,2,2,1
64,11002.18833987969,5379119.712259188,19,76,2,retirement,ppf,30.6,11.96,0,3,3,4
48,42738.45846741408,3416475.1014044583,14,90,5,retirement,real_estate,33.5,15.35,3,1,1,7
20,32870.5773189353,1113128.418232703,2,15,21,wealth,stocks,57.1,22.91,2,0,0,11
29,31254.00674646896,1147835.1921770582,3,14,21,wealth,crypto,61.4,28.34,2,0,0,5
69,8663.711828922013,5707691.1346714,15,79,1,retirement,fd,30.3,11.23,0,3,3,2
55,11199.857459992409,6879310.242097567,15,87,2,retirement,gold,25.0,11.9,0,3,3,2
41,27038.11951172236,2088051.6749951104,9,51,10,education,mutual,40.8,17.08,1,2,2,1
38,28761.204358659204,1547791.8175868157,6,52,5,education,mutual,29.6,14.96,1,2,2,1
37,23149.809670130795,1697950.2406205926,7,50,9,education,mutual,36.1,16.41,1,2,2,1
45,40287.25645427352,4166348.190505241,13,98,6,retirement,real_estate,32.8,15.48,3,1,1,7
63,9818.933435391678,5870572.799815084,16,79,2,retirement,fd,29.6,11.36,0,3,3,2
73,12048.125051622925,6193161.65890578,18,84,1,retirement,gold,32.5,12.45,0,3,3,2
74,9285.109154379146,6673112.878101374,13,76,1,retirement,fd,33.3,11.53,0,3,3,2
37,22045.161624648903,1386643.164432508,6,59,10,education,mutual,37.0,16.7,1,2,2,1
51,36643.34362905813,3620171.864877077,11,99,5,wealth,etf,32.9,15.29,3,1,1,14
33,25491.772190780288,1551920.4794235283,9,49,7,wealth,mutual,30.7,15.47,1,2,2,0
25,26566.0619053323,2116513.4662761027,10,51,9,education,mutual,30.7,15.87,1,2,2,1
64,11397.65684040507,6534189.666847008,13,83,1,retirement,fd,28.0,11.0,0,3,3,2
56,36450.91287044583,3785034.03875024,13,93,6,retirement,real_estate,38.0,16.0,3,1,1,7
61,12377.826742949286,5165700.370560902,13,80,2,retirement,gold,29.0,12.3,0,3,3,2
39,28472.558817429872,1850889.6822140987,6,48,10,education,mutual,40.4,17.04,1,2,2,1
22,26960.282942125705,921271.7212923056,1,16,22,vacation,crypto,58.8,28.28,2,0,0,6
38,28713.214317247675,2007187.966006588,8,50,8,education,mutual,35.7,16.17,1,2,2,1
40,28968.7784810066,2575981.6165714525,9,42,14,education,mutual,49.6,18.76,1,2,2,1
61,8896.283708215107,6207432.750180955,11,79,2,retirement,ppf,28.4,11.74,0,3,3,4
32,28331.49959694215,2067839.070557974,9,45,9,wealth,etf,35.2,16.32,1,2,2,9
38,22907.37417257465,1571936.6145972558,7,38,11,education,stocks,41.8,19.38,1,2,2,12
70,9633.606762559224,6061539.100828091,16,85,2,retirement,fd,32.4,11.64,0,3,3,2
49,35788.49504614625,2620705.0671241824,11,91,5,retirement,mutual,32.6,15.26,3,1,1,8
59,10042.543153472125,6664466.659767705,12,84,2,retirement,gold,27.1,12.11,0,3,3,2
45,21011.92282319781,2844137.0608385517,6,42,11,education,etf,44.5,17.65,1,2,2,3
52,36448.86210618822,3391608.029609255,13,103,5,retirement,real_estate,33.0,15.3,3,1,1,7
45,27143.64928439052,1635287.084932543,7,50,6,education,mutual,34.9,15.69,1,2,2,1
41,40795.47094437859,4696321.454305235,11,103,5,retirement,real_estate,28.4,14.84,3,1,1,7
20,37357.20722377669,1026168.967725826,2,16,17,vacation,crypto,49.9,26.39,2,0,0,6
23,27377.70658810988,979215.6639012604,1,10,14,wealth,stocks,44.0,20.2,2,0,0,11
44,39404.707384829206,3985335.3472220832,15,100,3,retirement,real_estate,25.9,14.19,3,1,1,7
28,36074.143720978296,1043501.89520841,1,17,18,vacation,crypto,55.5,27.15,2,0,0,6
41,31315.259918003507,2203618.057918858,6,46,11,education,mutual,44.2,17.62,1,2,2,1
35,25584.90311797228,1555125.4794885768,7,52,11,education,etf,39.4,17.14,1,2,2,3
23,29299.7328994227,1154921.7845173446,1,7,17,wealth,stocks,50.7,21.47,2,0,0,11
46,43067.73407553218,3267709.421836589,14,99,7,retirement,etf,35.7,15.97,3,1,1,10
46,42862.10456381468,3755516.80952506,9,100,6,retirement,etf,33.6,15.56,3,1,1,10
19,39690.88471929245,939863.8259941196,3,9,19,wealth,crypto,54.5,27.25,2,0,0,5
64,9059.915704480996,6087643.389466962,15,86,2,emergency,fd,29.2,11.32,0,3,3,2
75,9446.37340022216,5868275.891958876,15,80,1,retirement,fd,33.4,11.54,0,3,3,2
28,39319.9326785368,1474564.337427476,1,15,24,wealth,crypto,68.4,29.64,2,0,0,5
29,36836.13561962682,945868.4393947902,2,13,17,wealth,crypto,54.6,26.86,2,0,0,5
55,40317.63566506864,3561577.777620602,11,107,4,retirement,mutual,32.9,15.09,3,1,1,8
28,31185.901096653448,672778.5826829956,2,9,22,wealth,crypto,63.3,28.73,2,0,0,5
45,38812.97708229066,2976539.9352866584,7,95,4,retirement,mutual,28.8,14.68,3,1,1,8
23,37357.13373183039,736217.6613757967,2,11,24,wealth,crypto,65.9,29.39,2,0,0,5
31,29532.24336567156,1118188.9671203813,1,10,17,vacation,crypto,54.4,26.84,2,0,0,6
22,33877.450082746174,929847.0354597602,0,13,23,wealth,crypto,62.5,28.85,2,0,0,5
23,29347.288632536794,774971.9027535081,1,11,16,wealth,stocks,48.3,21.03,2,0,0,11
41,28081.210901932416,1746484.54168888,3,50,9,education,etf,39.1,16.71,1,2,2,3
36,27911.38791072,2096916.4743209276,6,48,11,education,mutual,40.8,17.28,1,2,2,1
24,42752.76188310816,967748.7338625848,2,10,22,wealth,crypto,63.6,28.76,2,0,0,5
47,38268.178813355706,4169100.73641563,12,95,3,retirement,real_estate,27.7,14.37,3,1,1,7
47,41593.90294068074,2747614.631492886,11,104,8,wealth,real_estate,37.4,16.34,3,1,1,13
40,25513.561431236987,2209692.071980812,9,48,13,wealth,etf,46.3,18.23,1,2,2,9
62,8589.976288483182,5324462.81689599,15,76,1,retirement,fd,27.1,10.91,0,3,3,2
23,26991.42910067027,958324.858907523,2,11,22,wealth,crypto,59.8,28.38,2,0,0,5
27,33304.234801756866,1025700.5015062531,1,11,17,wealth,crypto,53.1,26.71,2,0,0,5
21,40499.93454484729,1739976.4028024669,1,10,18,wealth,crypto,53.6,26.96,2,0,0,5
66,9269.356897375785,5455183.481328806,14,84,1,retirement,ppf,28.5,11.55,0,3,3,4
41,25216.747402708606,1254854.5654195056,8,47,8,education,etf,36.8,16.28,1,2,2,3
22,39311.492306259206,637263.1085811583,2,10,24,wealth,crypto,65.9,29.39,2,0,0,5
68,10600.948719221657,5878659.361593983,15,74,2,retirement,fd,32.7,11.67,0,3,3,2
64,9173.069677753449,5228599.2423951775,13,75,2,retirement,ppf,30.3,11.93,0,3,3,4
66,11073.305505054572,6759641.961820885,14,75,1,retirement,fd,29.7,11.17,0,3,3,2
28,39958.15098093697,765477.8583326397,2,14,26,wealth,crypto,72.6,30.0,2,0,0,5
67,9232.057456095295,6173354.98880246,12,78,1,retirement,fd,29.5,11.15,0,3,3,2
44,27206.965430924105,2179577.087277199,5,55,13,education,mutual,47.9,18.39,1,2,2,1
27,29581.60135570943,1257007.5610975712,1,11,20,wealth,stocks,58.3,22.83,2,0,0,11
35,26596.06729681836,2250190.4001216204,8,53,9,education,etf,35.5,16.35,1,2,2,3
28,31014.80394181866,1050430.4383784786,0,7,16,wealth,crypto,51.5,26.35,2,0,0,5
36,23945.019448497354,1860054.934769425,7,54,9,education,mutual,35.4,16.34,1,2,2,1
32,30353.67666656076,2470490.282703412,10,54,11,wealth,etf,38.7,17.07,1,2,2,9
18,39347.27212027557,863830.3656619415,2,6,14,wealth,crypto,44.3,25.23,2,0,0,5
57,11477.620961775006,5315842.480583595,14,78,2,retirement,fd,27.0,11.1,0,3,3,2
18,23471.94654732788,882231.4967927231,0,14,17,wealth,crypto,46.3,26.03,2,0,0,5
45,41643.895683817886,3185054.607955532,14,103,7,retirement,real_estate,34.5,15.85,3,1,1,7
26,38177.70675700339,1058254.271678326,1,13,18,wealth,crypto,55.3,27.13,2,0,0,5
63,7760.765133421977,6239720.759043032,16,80,1,emergency,fd,27.1,10.91,0,3,3,2
49,22859.1133203866,2156817.8015474025,8,55,7,education,etf,37.6,16.16,1,2,2,3
45,47554.752120707046,3303443.6711000446,16,101,6,retirement,mutual,33.9,15.59,3,1,1,8
21,37275.857539345336,1346925.3314492316,2,9,23,wealth,crypto,63.1,28.91,2,0,0,5
43,24905.58588938895,2435751.934461843,8,49,9,education,etf,39.6,16.76,1,2,2,3
57,7659.773947881281,5061723.646979063,13,85,3,retirement,gold,27.5,12.35,0,3,3,2
23,39618.36099043676,744384.05870725,0,14,16,vacation,stocks,50.0,21.2,2,0,0,15
31,32843.08185284173,509968.7765804174,1,10,16,wealth,crypto,53.1,26.51,2,0,0,5
23,39158.52931720446,1166445.614451676,1,17,15,wealth,stocks,47.6,20.76,2,0,0,11
24,30083.22019048587,1045482.4205933688,0,15,24,wealth,crypto,64.5,29.25,2,0,0,5
68,7187.365072656332,4755836.323293505,19,86,2,retirement,ppf,30.8,11.98,0,3,3,4
35,23182.029861745264,2483309.896260856,9,50,8,education,mutual,33.1,15.91,1,2,2,1
59,10993.398446473044,6261071.272966968,10,78,2,retirement,fd,27.9,11.19,0,3,3,2
31,31228.516658441236,1486862.7953413627,2,9,22,wealth,stocks,64.8,23.88,2,0,0,11
30,40463.329155159496,1274595.4900816453,2,10,22,wealth,crypto,66.1,29.01,2,0,0,5
57,36314.210392934896,3087525.716797422,11,101,8,wealth,real_estate,41.7,16.77,3,1,1,13
45,22460.80508266693,1951799.5767106705,7,45,9,education,mutual,40.5,16.85,1,2,2,1
65,9042.325087983192,5513310.580986483,10,74,1,retirement,gold,28.9,12.09,0,3,3,2
63,9099.621470297176,6417375.663162441,16,86,1,retirement,gold,26.7,11.87,0,3,3,2
25,34011.654013186846,621424.3069487074,0,12,21,wealth,crypto,60.1,28.21,2,0,0,5
25,38897.59742120528,1045575.6591270426,2,13,22,wealth,crypto,63.0,28.7,2,0,0,5
51,36766.89122319382,2614233.250140664,6,95,6,retirement,mutual,35.4,15.74,3,1,1,8
26,30971.876540589896,1223638.4364236502,1,10,17,vacation,stocks,52.2,21.62,2,0,0,15
70,11658.949683863497,6332708.411845889,14,80,1,retirement,ppf,31.3,11.83,0,3,3,4
24,37509.49068074969,1227741.759676033,2,11,12,wealth,crypto,42.4,24.64,2,0,0,5
53,38439.7254957782,3019134.8908080524,9,97,6,retirement,real_estate,36.5,15.85,3,1,1,7
28,33140.347697775906,858666.0929226098,1,13,17,wealth,stocks,53.3,21.73,2,0,0,11
43,23837.534010190928,2144006.5860952903,6,52,4,wealth,etf,29.1,14.71,1,2,2,9
38,29784.760624258044,1718537.4490739668,4,41,7,wealth,mutual,34.9,15.89,1,2,2,0
18,24319.32826651381,352129.9967072024,1,10,21,vacation,crypto,54.9,27.69,2,0,0,-1
20,35855.4489313158,1034313.9282107909,4,12,21,wealth,crypto,58.0,28.0,2,0,0,5
66,10493.00955686401,5798462.005467485,14,79,1,retirement,fd,29.2,11.12,0,3,3,2
25,37298.98771650202,1254598.2856516668,1,17,23,wealth,crypto,64.3,29.03,2,0,0,5
67,11843.30022384892,5821663.432910064,15,74,1,retirement,fd,30.5,11.25,0,3,3,2
25,31547.148962155672,1328780.8442822725,2,9,16,wealth,crypto,49.9,26.19,2,0,0,5
43,20817.106749386745,2346108.462917818,6,43,8,education,etf,37.4,16.34,1,2,2,3
52,41179.06141630471,3466210.301032114,9,102,7,retirement,mutual,38.0,16.2,3,1,1,8
30,27114.36832731696,1882350.727849532,5,51,12,education,mutual,39.3,17.33,1,2,2,1
60,37935.0704612553,3431509.269484121,14,103,6,retirement,real_estate,39.3,16.13,3,1,1,7
59,11913.404633589167,5540656.744256953,12,82,2,emergency,fd,27.7,11.17,0,3,3,2
22,39139.30445542342,1159638.5714725703,5,10,21,wealth,stocks,59.8,23.18,2,0,0,11
67,10695.352967076671,6251372.403745407,15,81,1,retirement,fd,29.5,11.15,0,3,3,2
41,29032.85372570379,1531846.560758264,5,57,11,wealth,mutual,42.6,17.46,1,2,2,0
56,11724.786944765518,6955709.543569862,16,79,1,retirement,fd,24.4,10.64,0,3,3,2
57,37947.14048347998,3590087.9968028613,14,93,6,retirement,mutual,38.8,16.08,3,1,1,8
33,36585.52689003735,703298.6685141963,1,9,21,wealth,stocks,64.9,23.69,2,0,0,11
41,26141.56091594891,2572635.5620856443,6,49,9,education,mutual,38.8,16.68,1,2,2,1
23,37305.78597041202,1463185.1814283435,1,11,17,wealth,stocks,51.9,21.59,2,0,0,11
43,24707.13791267777,1815209.7608114865,9,54,10,education,mutual,41.0,17.1,1,2,2,1
41,22501.410174536395,1827599.5576668244,8,50,10,wealth,etf,40.0,17.0,1,2,2,9
66,10603.583799638933,5107066.754032944,20,83,1,retirement,ppf,28.8,11.58,0,3,3,4
49,21788.595270939782,1853191.032547349,8,42,9,education,mutual,42.7,17.07,1,2,2,1
59,10739.284384396187,5812588.971689097,15,85,1,retirement,fd,25.1,10.71,0,3,3,2
28,27069.49468720197,797110.026629589,1,9,23,wealth,crypto,64.5,29.05,2,0,0,5
36,24545.80752417577,1798965.394437726,8,58,11,education,etf,39.1,17.11,1,2,2,3
58,39927.723209389536,2723117.1075305813,11,97,7,retirement,real_estate,41.3,16.53,3,1,1,7
61,11444.762715655545,6615437.256577367,17,89,2,retirement,fd,27.9,11.19,0,3,3,2
25,37881.04609421043,789333.8541773263,3,15,19,vacation,crypto,56.6,27.46,2,0,0,6
26,35444.88366193371,1150514.897270259,1,13,20,wealth,crypto,58.8,27.88,2,0,0,5
70,9216.702865156418,6356161.079790081,15,71,2,retirement,ppf,33.7,12.27,0,3,3,4
21,36102.65432694092,1184631.7753873658,2,15,19,wealth,stocks,54.2,22.22,2,0,0,11
57,44147.29478667367,3182283.475127808,11,95,7,retirement,real_estate,41.8,16.58,3,1,1,7
57,9505.948598508006,5890673.361282482,15,77,1,retirement,fd,24.7,10.67,0,3,3,2
62,8815.07148169421,6747469.113726618,15,81,1,retirement,ppf,26.7,11.37,0,3,3,4
43,35176.2345376801,4161575.7850296753,10,95,8,retirement,real_estate,35.0,16.1,3,1,1,7
50,36943.601631016114,4091115.255068664,12,95,4,retirement,etf,30.9,14.89,3,1,1,10
49,20128.2464722901,1790056.2158702265,6,45,10,wealth,etf,44.0,17.4,1,2,2,9
44,26188.95904602359,1770965.580749389,8,44,11,education,etf,44.8,17.68,1,2,2,3
39,25897.599298266687,2552049.31583416,7,43,6,wealth,mutual,32.4,15.44,1,2,2,0
34,24774.9189988096,2224304.507202229,10,54,11,wealth,mutual,38.6,17.06,1,2,2,0
42,23876.131542021834,1638281.925339364,6,56,10,education,etf,40.2,17.02,1,2,2,3
49,39168.82932209749,3790223.7767867753,10,92,8,retirement,real_estate,39.1,16.51,3,1,1,7
43,47653.803491051294,2716672.0232069264,9,110,6,retirement,real_estate,32.0,15.4,3,1,1,7
47,39578.09366252262,4463879.138888566,15,90,5,wealth,mutual,32.4,15.24,3,1,1,16
43,29662.84732483308,1687128.2184189465,8,44,10,education,mutual,43.0,17.3,1,2,2,1
36,23828.816598648573,1369108.145547151,7,61,10,wealth,mutual,36.7,16.67,1,2,2,0
34,20874.55182387909,2160615.454287682,7,49,10,wealth,etf,36.3,16.63,1,2,2,9
66,12228.643389337743,5517731.102544905,13,81,2,retirement,fd,31.3,11.53,0,3,3,2
30,34519.20662565025,1025377.1901242606,1,8,15,vacation,crypto,51.1,26.11,2,0,0,6
44,26113.16121464609,2177557.1356171547,7,42,12,education,mutual,47.0,18.1,1,2,2,1
60,12434.317041650993,5941885.478439021,14,84,2,retirement,gold,28.1,12.21,0,3,3,2
60,8875.663946843395,5045321.956246354,10,81,2,retirement,gold,27.7,12.17,0,3,3,2
36,30846.889334342857,2390134.293955504,9,44,7,education,etf,33.8,15.78,1,2,2,3
39,23164.920634894606,1889216.3623091336,9,54,8,education,etf,34.7,16.07,1,2,2,3
41,27523.12383088486,1577476.7478096988,10,48,10,wealth,mutual,41.2,17.12,1,2,2,0
54,40419.81911007361,2923439.645672598,13,101,6,retirement,mutual,37.0,15.9,3,1,1,8
44,21875.641144675545,2634759.862813236,8,51,8,education,mutual,37.3,16.33,1,2,2,1
30,25054.69299141135,2529047.136504309,6,43,7,wealth,stocks,29.7,17.37,1,2,2,-1
35,25001.61808788664,1321992.882809877,7,51,8,education,etf,33.4,15.94,1,2,2,3
47,24581.214618652743,1725058.2262566823,6,46,13,education,mutual,49.8,18.58,1,2,2,1
24,29210.15097189136,679381.9137381021,1,8,19,wealth,crypto,55.0,27.3,2,0,0,5
66,8686.211442057209,6451138.586893324,15,81,1,retirement,fd,28.6,11.06,0,3,3,2
59,4939.424954507341,5266607.404692162,15,80,2,retirement,ppf,26.5,11.55,0,3,3,4
39,21203.090664730567,2873692.240701961,8,53,10,education,mutual,38.4,16.84,1,2,2,1
53,37521.18055708192,2611802.5281060254,14,94,5,retirement,real_estate,34.6,15.46,3,1,1,7
66,11077.51198489274,6274441.917658682,13,80,1,retirement,fd,29.2,11.12,0,3,3,2
37,20288.574863896087,2494481.9913038383,9,56,12,education,mutual,41.0,17.5,1,2,2,1
26,36432.19535542628,1008671.9779977382,0,15,18,wealth,crypto,54.8,27.08,2,0,0,5
38,24159.66697674998,2051768.67072612,8,43,10,education,mutual,39.5,16.95,1,2,2,1
37,25255.137580600545,1160725.014691519,7,48,8,wealth,mutual,34.8,16.08,1,2,2,0
20,39043.63826137098,592652.7980100118,1,12,20,vacation,stocks,56.6,22.66,2,0,0,15
33,28182.40021541784,1065627.7211779612,11,49,5,wealth,mutual,27.2,14.72,1,2,2,-1
41,39159.72538587382,3219019.3144055773,10,95,5,retirement,mutual,28.8,14.88,3,1,1,8
62,37864.48921129557,3119573.0289268494,10,102,6,retirement,mutual,40.4,16.24,3,1,1,8
60,7240.763670422139,4987096.063444312,15,80,2,retirement,ppf,27.4,11.64,0,3,3,4
58,13438.755812414594,5585901.863517383,16,78,2,retirement,fd,27.9,11.19,0,3,3,2
50,20725.086484553765,2198552.658611538,6,47,7,education,mutual,38.4,16.24,1,2,2,1
19,34327.97277420173,884298.2208634391,0,11,20,wealth,stocks,55.3,22.53,2,0,0,11
58,10151.910535832174,5282045.238065736,14,84,1,retirement,fd,24.6,10.66,0,3,3,2
20,33783.83560338673,1181705.8633387578,2,14,19,wealth,crypto,53.4,27.14,2,0,0,5
34,27931.790110909365,1938908.0220079373,8,44,9,education,mutual,36.2,16.42,1,2,2,1
66,6972.571214774345,5608123.239437786,16,83,2,retirement,fd,30.1,11.41,0,3,3,2
